title;year;bond_actor;director;box_office_millions_actual;box_office_millions_2005;budget_millions_actual;budget_millions_2005;ref
Dr. No;1962;Sean Connery;Terence Young;59.5;448.8;1.1;7.0;[14][15]
From Russia with Love;1963;Sean Connery;Terence Young;78.9;543.8;2.0;12.6;[14][15][16]
Goldfinger;1964;Sean Connery;Guy Hamilton;124.9;820.4;3.0;18.6;[14][15][17]
Thunderball;1965;Sean Connery;Terence Young;141.2;848.1;6.8;41.9;[14][15][18]
You Only Live Twice;1967;Sean Connery;Lewis Gilbert;111.6;514.2;10.3;59.9;[15][19]
On Her Majesty's Secret Service;1969;George Lazenby;Peter R. Hunt;64.6;291.5;7.0;37.3;[14][15]
Diamonds Are Forever;1971;Sean Connery;Guy Hamilton;116.0;442.5;7.2;34.7;[14][15][20]
Live and Let Die;1973;Roger Moore;Guy Hamilton;126.4;460.3;7.0;30.8;[14][15]
The Man with the Golden Gun;1974;Roger Moore;Guy Hamilton;97.6;334.0;7.0;27.7;[15][21]
The Spy Who Loved Me;1977;Roger Moore;Lewis Gilbert;185.4;533.0;14.0;45.1;[14][15][22]
Moonraker;1979;Roger Moore;Lewis Gilbert;210.3;535.0;34.0;91.5;[14][23]
For Your Eyes Only;1981;Roger Moore;John Glen;194.9;449.4;28.0;60.2;[14][15]
Octopussy;1983;Roger Moore;John Glen;183.7;373.8;27.5;53.9;[14][15]
A View to a Kill;1985;Roger Moore;John Glen;152.4;275.2;30.0;54.5;[14][15]
The Living Daylights;1987;Timothy Dalton;John Glen;191.2;313.5;40.0;68.8;[14][15][24]
Licence to Kill;1989;Timothy Dalton;John Glen;156.2;250.9;36.0;56.7;[14][15][25]
GoldenEye;1995;Pierce Brosnan;Martin Campbell;352.0;518.5;60.0;76.9;[14][26]
Tomorrow Never Dies;1997;Pierce Brosnan;Roger Spottiswoode;333.0;463.2;110.0;133.9;[27]
The World Is Not Enough;1999;Pierce Brosnan;Michael Apted;361.8;439.5;135.0;158.3;[14][28]
Die Another Day;2002;Pierce Brosnan;Lee Tamahori;432.0;465.4;142.0;154.2;[14][15][29]
Casino Royale;2006;Daniel Craig;Martin Campbell;606.0;589.4;150.0;145.3;[30][14]
Quantum of Solace;2008;Daniel Craig;Marc Forster;586.1;514.2;200.0;181.4;[31]
Skyfall;2012;Daniel Craig;Sam Mendes;1108.6;943.5;175.0;150.0;[32][33][34][35]
Spectre;2015;Daniel Craig;Sam Mendes;880.7;725.5;247.0;203.0;[43][35]
No Time to Die;2021;Daniel Craig;Cary Joji Fukunaga;708.7;534.9;275.0;200.0;[44][45][46]
