movie;rotten_tomatoes;metacritic;cinemascore
Dr. No;95% (60 reviews)[56];78 (8 reviews)[57];
From Russia with Love;95% (62 reviews)[58];83 (18 reviews)[59];
Goldfinger;99% (69 reviews)[60];87 (12 reviews)[61];
Thunderball;87% (52 reviews)[62];64 (9 reviews)[63];
You Only Live Twice;73% (52 reviews)[64];61 (14 reviews)[65];
On Her Majesty's Secret Service;81% (54 reviews)[66];61 (12 reviews)[67];
Diamonds Are Forever;64% (50 reviews)[68];59 (11 reviews)[69];
Live and Let Die;65% (52 reviews)[70];55 (9 reviews)[71];
The Man with the Golden Gun;39% (51 reviews)[72];43 (11 reviews)[73];
The Spy Who Loved Me;80% (56 reviews)[74];55 (12 reviews)[75];
Moonraker;60% (53 reviews)[76];66 (13 reviews)[77];
For Your Eyes Only;72% (53 reviews)[78];54 (12 reviews)[79];
Octopussy;43% (49 reviews)[80];63 (14 reviews)[81];
A View to a Kill;38% (61 reviews)[82];40 (20 reviews)[83];
The Living Daylights;74% (57 reviews)[84];60 (18 reviews)[85];A[86]
Licence to Kill;78% (59 reviews)[87];58 (25 reviews)[88];B+[86]
GoldenEye;79% (82 reviews)[89];65 (19 reviews)[90];A−[86]
Tomorrow Never Dies;56% (90 reviews)[91];52 (38 reviews)[92];A−[86]
The World Is Not Enough;52% (145 reviews)[93];57 (38 reviews)[94];B+[86]
Die Another Day;56% (222 reviews)[95];56 (43 reviews)[96];A−[86]
Casino Royale (2006);94% (263 reviews)[97];80 (46 reviews)[98];A−[86]
Quantum of Solace;64% (299 reviews)[99];58 (48 reviews)[100];B−[86]
Skyfall;92% (384 reviews)[101];81 (49 reviews)[102];A[86]
Spectre;63% (367 reviews)[103];60 (48 reviews)[104];A–[86]
No Time to Die;84% (376 reviews)[105];69 (66 reviews)[106];A–[86]
